district,unit,latitude,longitude,total_crimes
Hubballi Dharwad City,Hubballi South Traffic PS,15.32673,75.13263,392
Kodagu,Siddapura PS,12.29711,75.86839,392
Dakshina Kannada,Bantwala Rural PS,12.88503,75.03769,390
Koppal,Kuknoor PS,15.4311,75.99939,390
Bengaluru City,S.J. Park PS,12.9579,77.58117,389
Raichur,Yeregera PS,16.10072,77.37592,389
Bidar,Bhalki Rural PS,18.06997,77.20029,388
Bengaluru City,Shivajinagar Traffic PS,12.98309,77.60355,384
Hassan,Banavara PS,13.40902,76.21058,384
Raichur,Mudgal PS,15.99414,76.37668,382
Mangaluru City,Mangalore Rural PS,12.90316,74.90994,380
Bagalkot,Kaladagi PS,16.18992,75.54562,379
Mysuru City,Vidyaranyarpuram PS,12.27231,76.64547,377
Raichur,Sirwar PS,16.1384,77.02171,377
Dakshina Kannada,Belthangadi PS,12.99947,75.2877,375
Haveri,Haveri Town PS,14.7873,75.40327,375
Haveri,Hirekerur  PS,14.43056,75.40934,375
Koppal,Yelburga PS,15.59746,76.02944,375
Bidar,Hallikhed PS,17.82949,77.23159,374
Koppal,Alwandi PS,15.239,75.98425,374
Chitradurga,Parasurampura PS,14.2708,76.86774,372
Karnataka Railways,Bengaluru City Rly PS,12.88616,77.48914,372
Mysuru Dist,Mysuru South PS,12.22272,76.30195,372
Shivamogga,Thirthahalli PS,13.70312,75.25725,370
Bengaluru City,City Market Traffic PS,12.95802,77.58244,369
Bidar,Aurad PS,18.24648,77.41192,369
Raichur,Sindanoor Rural PS,15.72364,76.77747,369
Tumakuru,Arasikere PS,14.11792,77.08514,368
Bengaluru City,Amruthahally PS,13.10572,77.50403,367
Bengaluru City,HSR Layout PS,12.9047,77.61988,367
Bengaluru City,R.M.C. Yard PS,13.04958,77.42403,367
Bengaluru City,East CEN Crime PS,12.11107,77.60211,365
Chickballapura,Patapalya PS,13.76793,77.98001,364
Shivamogga,Hosanagara PS,13.94039,75.09745,363
Yadgir,Wadigere PS,16.61775,77.08843,363
Belagavi City,Camp PS,15.86149,74.49348,362
Chickballapura,Chintamani Rural PS,13.37577,78.03547,362
Mysuru Dist,Hunusur Rural PS,12.28975,76.25966,362
Kalaburagi City,Roza PS,17.34855,76.85142,359
Tumakuru,Kolala PS,13.41767,77.28547,359
Chitradurga,Holalkere PS,14.00548,76.15938,358
Hassan,Channarayapatna Traffic PS,12.885,76.39939,358
Mysuru City,Hebbal PS,12.34975,76.61068,358
Shivamogga,Shikaripura Town PS,14.26197,75.36039,357
Bengaluru City,Magadi Road PS,12.83163,77.5303,354
Haveri,Hansabhavi PS,14.55058,75.37564,354
Tumakuru,Dandina Shivara PS,13.23249,76.72055,352
Tumakuru,Tavarekere PS,13.81039,76.80485,352
Bagalkot,Savalgi PS,16.62136,75.37891,350
Bengaluru City,Bagalagunte PS,13.1874,77.38884,350
Bidar,New Town PS,17.90493,77.46607,349
Chamarajanagar,Gundlupete  PS,11.81199,76.6722,348
Dakshina Kannada,Belthangadi Traffic PS,12.97506,75.34039,347
Hassan,Goruru PS,12.86156,76.09495,347
Tumakuru,Kibbanhalli PS,13.3011,76.6395,347
Mysuru City,Lashkar PS,12.30102,76.63077,346
Bidar,Bidar Traffic PS,17.90991,77.50971,343
Dakshina Kannada,Puttur Rural PS,12.69253,75.23443,342
Kodagu,Sunticoppa PS,12.4509,75.81719,342
Udupi,Hiriadka PS,13.35341,74.84759,342
Bengaluru City,Shankarpura PS,12.9216,77.55688,340
K.G.F,Kamasamudram PS,12.86371,78.19954,340
Belagavi City,Belagavi City Women PS,15.86134,74.51913,338
Haveri,Haveri CEN Crime PS,14.74177,75.41997,337
Chikkamagaluru,Koppa  PS,13.52393,75.36543,336
Koppal,Bevoor PS,15.5786,76.18938,335
Bagalkot,Mahalingapur PS,16.38149,75.10492,334
Chickballapura,Kencharlahalli PS,13.51004,78.07094,334
Yadgir,Yadgiri Traffic PS,16.76849,77.13496,334
Bengaluru City,Byappanahalli PS,12.98685,77.6488,333
Mysuru City,Vijayanagar PS,12.35002,76.59172,333
Mysuru Dist,Bettadapura PS,12.4678,76.10705,333
Uttara Kannada,Ramanagar PS,15.38245,74.45814,333
Bengaluru City,Srirampura PS,12.98725,77.56485,332
Gadag,Mulagund PS,15.25086,75.57083,332
Hassan,Nuggehalli PS,13.03769,76.45479,332
Bagalkot,Ilakal Rural PS,15.98425,76.17281,331
Mysuru City,Metagalli PS,12.35429,76.63582,331
Mysuru City,V.V. Puram PS,12.33024,76.63295,331
Mysuru Dist,Varuna PS,12.25419,76.58611,331
Raichur,Sindhanoor Town PS,15.76578,76.75668,331
Shivamogga,Vinobanagara PS,13.89711,75.52562,330
Bidar,Basava Kalyana Traffic PS,17.83653,76.943,329
Mysuru City,Mandi PS,12.31771,76.6256,329
Bidar,Manthala PS,17.75229,76.80914,327
Mysuru Dist,Nanjanagudu Rural PS,12.10437,76.64497,326
Belagavi City,Khadebazar PS,15.8587,74.51175,325
Belagavi Dist,Ankalgi PS,16.03025,74.70056,324
Belagavi Dist,Khadakalat PS,16.42204,74.47455,324
Bidar,Basava Kalyana Rural PS,17.83507,76.9832,324
Raichur,Raichur Women PS,16.15376,77.3325,324
Raichur,Raichur West PS,16.18605,77.33419,323
Bidar,Janwada PS,17.95308,77.45932,322
Bengaluru City,Whitefield Traffic PS,12.96815,77.74379,321
Mysuru City,Krishnaraja PS,12.26661,76.42561,321
Raichur,Jalhalli PS,16.29107,76.67012,321
Bagalkot,Teradal PS,16.47764,75.06294,320
Ballari,Moka PS,15.27491,77.04484,320
Chamarajanagar,Begur PS,11.88708,76.66051,319
Davanagere,Azad Nagar PS,14.48041,75.9241,319
Davanagere,Jagalur PS,14.52177,76.34358,318
Vijayapur,Kudagi PS,16.51175,75.85402,318
Vijayanagara,Harapanahalli PS,14.80561,75.95344,317
Ballari,Sirigeri PS,15.44098,76.89157,316
Chickballapura,Chickballapura Traffic PS,13.4281,77.73288,316
Yadgir,Gurumitkal PS,16.83791,77.35714,314
Uttara Kannada,Murudeshwar PS,14.08999,74.48734,313
Dharwad,Alnavar PS,15.4308,74.78589,312
Mysuru City,Devaraja PS,12.31051,76.63714,312
Vijayapur,APMC PS,16.83952,75.7272,312
Bengaluru City,Vijayanagar Traffic PS,12.97649,77.53899,311
Uttara Kannada,Karwar Rural PS,14.79598,74.18311,307
Bagalkot,Jamakhandi Town PS,16.47555,75.27399,306
Haveri,Kaginele PS,14.65213,75.34762,305
Kalaburagi,Nelogi PS,17.04088,76.54737,305
Tumakuru,Bellavi PS,13.36819,77.06641,305
Uttara Kannada,Chittakula PS,14.87416,74.13917,305
Bengaluru City,West CEN Crime PS,12.97945,77.53674,302
Chamarajanagar,Hanur PS,12.12736,77.2659,302
Chitradurga,Challakere PS,14.32286,76.59926,302
Hassan,Gandasi PS,13.16477,76.29677,302
Shivamogga,Hosamane PS,13.82839,75.71398,301
Haveri,Bankapura PS,14.92178,75.21752,300
Udupi,Kundapura Rural PS,13.63355,74.74328,300
Davanagere,Mayakonda PS,14.31197,76.04185,299
Haveri,Adur PS,14.7369,75.23277,299
Davanagere,Gandhi Nagar PS,14.48009,75.90774,298
Hubballi Dharwad City,Ashoknagar PS,15.36475,75.14586,298
Mysuru Dist,Yelawala PS,12.31591,76.46586,298
Bengaluru City,Bharathi Nagar PS,12.98905,77.60571,297
Chamarajanagar,Chamarajanagar Town PS,11.89798,76.91549,297
Chikkamagaluru,Kalasa PS,13.23281,75.38607,297
Dakshina Kannada,Venoor PS,13.04529,75.1573,297
Mysuru Dist,Nanjangudu Traffic PS,12.10986,76.67431,297
Udupi,Hebri PS,13.44274,74.97924,297
Bengaluru City,Kengeri Traffic PS,12.84263,77.48348,296
Bengaluru City,Kadugondana Halli PS,13.01957,77.6068,295
Kodagu,Kushalnagar Town PS,12.44883,75.93889,295
Kodagu,Napoklu PS,12.2839,75.66779,295
Shivamogga,Kote PS,13.92358,75.57941,295
Chikkamagaluru,Sringeri  PS,13.42237,75.25284,294
Ballari,Bellary Rural PS,15.13709,76.8772,293
Bengaluru City,Halasur Gate Traffic PS,12.96486,77.58537,293
Bengaluru City,Kodigehalli PS,13.0611,77.57629,293
Hassan,Arehalli PS,13.0717,75.81452,293
Karnataka Railways,Raichur Rly PS,16.43139,77.24995,293
Shivamogga,Ripponpet PS,13.93927,75.23582,293
Uttara Kannada,Gokarna PS,14.54874,74.34228,293
Uttara Kannada,Dandeli Rural PS,15.25269,74.62483,292
Chitradurga,Hiriyur Rural PS,13.86226,76.57829,291
Kalaburagi,Jewargi PS,16.97491,76.7715,291
Mangaluru City,Mangalore Women PS,12.88782,74.84591,291
Bengaluru Dist,Hosakote Traffic PS,13.08617,77.79893,290
Belagavi City,Udyambag PS,15.81607,74.49259,289
Bengaluru City,Madivala Traffic PS,12.90445,77.61385,289
Bengaluru City,Thalaghattapura PS,12.795,77.5252,289
Kodagu,Kushalnagar Traffic PS,12.46141,75.94083,289
Ramanagara,Kudur PS,13.07967,77.18136,289
Kolar,Srinivasapura PS,13.32178,78.2026,288
Bagalkot,Ilakal PS,15.77776,76.08536,287
Ramanagara,Bidadi PS,12.79876,77.40129,287
Mysuru Dist,Jayapura PS,12.21952,76.55141,286
Chamarajanagar,Terakanambi PS,11.80806,76.77617,285
Kodagu,Madikeri Town PS,12.42256,75.73712,284
Tumakuru,Tumakuru CEN Crime PS,13.33186,77.04953,284
Hubballi Dharwad City,HD City Women PS,15.35547,75.11503,282
Shivamogga,Paper Town PS,13.80097,75.68784,282
Belagavi Dist,Chikkodi Town Traffic PS,16.42203,74.58751,281
Raichur,Balaganoor PS,15.90054,76.7758,277
Belagavi City,Belagavi City CEN Crime PS,15.86373,74.51928,276
Gadag,Betageri Extention PS,15.42793,75.64327,276
Shivamogga,Bhadravathi New Town PS,13.80187,75.64967,276
Udupi,Kollur PS,13.76831,74.78559,276
Mangaluru City,Barke PS,12.88459,74.834,275
Bengaluru City,Siddapura PS,12.86705,77.54938,273
Mandya,Mandya Rural PS,12.51573,76.87593,273
Bagalkot,Guledagudda PS,15.89742,75.69628,272
Dakshina Kannada,Puttur Town PS,12.76106,75.19798,272
Mysuru Dist,H.D. Kote PS,12.12408,76.32067,272
Hubballi Dharwad City,Hubballi East Traffic PS,15.35447,75.15367,271
Kolar,Vemagal PS,13.19118,77.9479,270
Raichur,Sadar Bazar PS,16.1889,77.34591,270
Bengaluru City,Vidhana Soudha PS,12.98114,77.5907,269
Yadgir,Saidapur PS,16.60472,77.29842,269
Belagavi Dist,Basaweshwar Chowk PS,16.42499,74.38178,266
Yadgir,Hunasagi PS,16.45297,76.53008,266
Bengaluru City,Gangammana Gudi PS,13.08759,77.51221,265
Shivamogga,Anavatti PS,14.52985,75.14434,265
Shivamogga,Bhadravathi Traffic PS,13.84895,75.69495,265
Chikkamagaluru,N.R. Pura PS,13.61709,75.48817,264
Raichur,Kowthal PS,16.07114,76.80051,264
Raichur,Raichur Traffic PS,16.20358,77.35161,263
Shivamogga,Bhadravathi Old Town PS,13.84502,75.6894,263
Tumakuru,Thirumani PS,14.22698,77.38516,261
Bengaluru City,Airport Traffic PS,12.77581,77.55344,260
Chikkamagaluru,Mallanduru PS,13.36227,75.65195,260
Shivamogga,Shiralakoppa PS,14.39036,75.25396,258
Chickballapura,Nandi Giridhama PS,13.36705,77.62205,256
Mysuru Dist,Bylakuppe PS,12.4219,75.99551,256
Chitradurga,Chitradurga Rural PS,14.21006,76.33556,253
Kalaburagi,Kamalapur PS,17.57576,77.01393,253
Chikkamagaluru,Panchanahalli PS,13.55204,76.27659,252
Shivamogga,Soraba PS,14.35821,75.10299,252
Ramanagara,Ramanagara Women PS,12.71026,77.31062,251
Hassan,Channarayapatna Rural PS,12.92038,76.3513,250
Bengaluru City,Chickpet Traffic PS,12.96431,77.56547,248
Hassan,Holenarasipura Rural PS,12.78629,76.25862,248
Bengaluru City,Kamakshipalya Traffic PS,12.83659,77.46372,247
Bidar,Bidar Rural PS,17.85596,77.49112,247
Bidar,Kamalanagar PS,18.233,77.21162,246
Dakshina Kannada,Dharmasthala PS,12.89399,75.3959,245
Karnataka Railways,Bengaluru Cantonment Rly PS,12.99555,77.7201,245
Shivamogga,Shivamogga East Traffic PS,13.93129,75.58927,245
Bengaluru City,Pulakeshinagar  PS,12.99452,77.54316,244
Chikkamagaluru,Gonibeedu PS,13.07337,75.67886,244
Chikkamagaluru,Yagati PS,13.60762,76.14228,243
Bengaluru City,Jayaprakash Nagar PS,12.92228,77.5693,241
Chamarajanagar,Yelandur  PS,12.04626,77.04453,240
Chikkamagaluru,Basavanahalli  PS,13.33993,75.7475,239
Davanagere,Basavanagara PS,14.45385,75.88308,239
Bengaluru City,Thilaknagar PS,12.91074,77.57558,238
Mysuru City,Jayalakshmipuram PS,12.32012,76.62465,238
Vijayanagara,Kottur PS,14.82633,76.2225,238
Dharwad,Gudageri PS,15.13606,75.33746,237
Haveri,Guttal PS,14.87809,75.61045,237
Mangaluru City,Mangalore West Traffic PS,12.88085,74.83728,237
Ramanagara,Kumbalagudu PS,12.87939,77.43663,237
Mandya,Mandya Traffic PS,12.52642,76.8942,233
Bengaluru City,Govindapura PS,13.0306,77.61045,232
Bengaluru City,Thalaghattapura Traffic PS,12.87446,77.52206,232
Bidar,Bagdal PS,17.36308,77.3957,232
Chickballapura,Manchenalli PS,13.52578,77.55833,232
Haveri,Haveri Women PS,14.7959,75.43701,231
Bidar,Mudbi PS,17.70888,76.94165,230
Shivamogga,Malur PS,13.74016,75.3591,230
Bidar,Market PS,17.87902,77.52235,229
Uttara Kannada,Karwar Traffic PS,14.81043,74.13073,229
Ramanagara,Tavarekere PS,12.94059,77.38556,228
Ballari,Siruguppa PS,15.62325,76.90375,227
Raichur,Shakti Nagar PS,16.36534,77.35366,227
Yadgir,Gogi PS,16.60536,76.65661,227
Chamarajanagar,Chamarajanagar Traffic PS,11.93041,76.91644,226
Mysuru City,Deveraja Traffic PS,12.31097,76.65314,226
Yadgir,Bheemarayanagudi PS,16.76592,76.81483,225
Kalaburagi,Wadi PS,17.02857,76.96754,222
Bidar,Bemalkhed PS,17.65259,77.39806,221
Ramanagara,Magadi PS,12.89053,77.23836,221
Bidar,Khataka Chincholi PS,17.94936,77.1879,220
Chitradurga,Bharamasagara PS,14.30915,76.21247,220
Chitradurga,Rampura PS,14.88472,76.77025,220
Davanagere,RMC Yard PS,14.46178,75.93774,219
Mandya,Maddur PS,12.56458,77.05688,219
Karnataka Railways,Wadi Rly PS,15.75496,76.38712,218
Shivamogga,Jayanagara PS,13.92827,75.56779,218
Mandya,Mandya Central PS,12.53719,76.8954,217
Bengaluru City,BIAL PS,13.19859,77.67829,216
Chitradurga,Hosadurga PS,13.8666,76.27762,216
Davanagere,Davanagere CEN Crime PS,14.38388,75.85338,216
Vijayanagara,Halavagilu PS,14.67943,75.85699,216
Kodagu,Srimangala PS,12.1361,75.87209,213
Chitradurga,Molakalmuru PS,14.69808,76.70833,212
Davanagere,Davangere North Traffic PS,14.46853,75.92732,212
Bidar,Hulsoor PS,17.94537,76.96946,211
Bengaluru City,Devanahalli PS,13.25552,77.67306,210
Hassan,Shravanabelagola PS,12.83474,76.4607,209
Mandya,Mandya East PS,12.52857,76.90346,209
Bengaluru City,Mico Layout Traffic PS,12.91812,77.60167,208
Hassan,Halebeedu PS,13.18789,76.01171,206
Ramanagara,Kanakapura Town PS,12.54928,77.42246,206
Dakshina Kannada,Subramanya PS,12.66541,75.54292,205
Ballari,Kurugod PS,15.33064,76.83208,204
Chamarajanagar,Kuderu PS,12.08846,76.90193,204
Chikkamagaluru,Balur  PS,13.20053,75.48218,204
Raichur,Market Yard PS,16.21666,77.35061,204
Shivamogga,Agumbe PS,13.5864,75.16131,204
Chikkamagaluru,Banakal  PS,13.13384,75.5579,203
Gadag,Gadag CEN Crime PS,15.40518,75.63485,202
Bengaluru City,Airport PS,12.58038,77.39753,201
Bidar,Hokrana PS,18.36086,77.31871,201
Hubballi Dharwad City,Ghantikeri PS,15.33291,75.14545,201
Karnataka Railways,Mysuru Rly PS,12.49817,76.65808,201
Mysuru Dist,Hunusur Town PS,12.30813,76.28961,201
Chitradurga,Hiriyur Town PS,13.8762,76.42254,200
Bengaluru City,Puttenahalli PS,12.88471,77.57494,199
Bidar,Kushnoor PS,18.1656,77.29848,199
Dakshina Kannada,Kadaba PS,12.75823,75.43039,199
Hassan,Konanur PS,12.48944,76.10124,198
Ramanagara,Kaggalipura PS,12.8053,77.49626,198
Koppal,Koppal Women PS,15.36862,76.18117,197
Udupi,Udupi Women PS,13.37294,74.76184,197
Yadgir,Yadgiri Town PS,16.74816,77.13016,197
Raichur,Raichur Rural PS,16.23448,77.31572,195
K.G.F,KGF CEN Crime PS,12.96903,78.24594,194
Koppal,Koppal Traffic PS,15.34234,76.15635,194
Bengaluru City,Hebbal Traffic PS,13.06015,77.59227,193
Bengaluru City,Indiranagar PS,12.94351,77.63698,193
Haveri,Tadas PS,15.05268,75.14059,189
Karnataka Railways,Hubballi Rly PS,15.20742,75.21762,189
Kodagu,Kutta PS,11.97199,76.06103,189
Vijayanagara,Arasikere PS,14.60186,76.01671,189
Vijayanagara,Hirehadagali PS,14.89898,75.78007,189
Hassan,Hassan City PS,13.0048,76.09653,188
Mysuru City,Laxmipuram PS,12.30086,76.64262,187
Bidar,Mannalli PS,17.7462,77.47757,186
Dharwad,Dharwad Women PS,15.38483,75.05665,186
Yadgir,Yadgiri Women PS,16.75014,77.12911,186
Bidar,Mehakar PS,18.04702,77.03961,185
Chikkamagaluru,Aldur PS,13.22277,75.59731,185
Bengaluru City,East Zone Women PS,12.96024,77.5886,184
K.G.F,BEML Nagar PS,12.98292,78.24036,184
Hassan,Sakaleshpura Town PS,12.94893,75.79099,183
Bengaluru Dist,Hosahalli PS,13.4375,77.43771,182
Kalaburagi,Sulepet PS,17.35808,77.34043,182
Kodagu,Bhagamandala PS,12.37954,75.55144,182
Yadgir,Kodekal PS,16.36123,76.48222,181
Haveri,Haveri Traffic PS,14.78969,75.3932,180
Ramanagara,Channapatna Rural PS,12.78584,77.16676,180
Ballari,Brucepet PS,15.14246,76.91333,179
Bengaluru City,K G Halli Traffic PS,13.02519,77.60416,177
Chamarajanagar,Chamarajanagar Rural PS,11.87027,76.84373,177
Kalaburagi,Mahagoan PS,17.50513,76.95104,177
Bidar,Santhapur PS,18.13096,77.44957,176
Shivamogga,Shivamogga Women PS,13.82809,75.48428,176
Bidar,Bidar Town PS,17.91839,77.53013,175
Dakshina Kannada,Bellare PS,12.70832,75.36821,175
Uttara Kannada,Joida PS,15.11911,74.46318,174
Udupi,Amasebailu PS,13.61935,74.95728,173
Haveri,Rattihalli PS,14.36404,75.47188,172
K.G.F,Budikote PS,12.91458,78.14866,172
Mandya,K.R. Pet Rural PS,12.63551,76.47632,172
Kalaburagi,Sedam PS,17.15339,77.28975,171
Ramanagara,Channapatna Town PS,12.54906,77.2146,171
Koppal,Gangavathi Traffic PS,15.43734,76.52867,170
Mysuru City,Kuvempunagar PS,12.28459,76.62215,170
Vijayanagara,Hadagali PS,15.07454,75.90243,170
Chickballapura,Chickballapura Rural PS,13.4454,77.67967,169
Vijayapur,Vijayapura CEN Crime PS,16.81501,75.80936,169
Mandya,Srirangapatna Rural PS,12.42514,76.68341,168
Ballari,Cowlbazar PS,15.15637,76.84079,167
Kalaburagi,Ratkal PS,17.4697,77.16894,167
Bengaluru City,Malleshwaram Traffic PS,12.99281,77.56361,166
Raichur,Sindanur Traffic PS,15.77384,76.75222,166
Ramanagara,Channapatna Traffic PS,12.50351,77.17508,166
Bagalkot,Bagalkot Traffic PS,16.17219,75.66452,165
Hassan,Alur PS,12.93705,75.95841,165
Chickballapura,Gowribidanur Rural PS,13.61406,77.50373,164
Bengaluru City,Adugodi Traffic PS,12.91036,77.60128,163
K.G.F,Oorgaum PS,12.95595,78.26008,163
Mandya,Srirangapatna PS,12.43952,76.64928,163
Hubballi Dharwad City,Kamaripeth PS,15.34392,75.13713,162
Raichur,Gabbur PS,16.31614,77.10481,162
Hassan,Sakaleshpura Rural PS,12.81526,75.7312,159
Haveri,Ranebennur Traffic PS,14.61126,75.62981,159
Kalaburagi,Alland PS,17.54833,76.54771,159
Ramanagara,Akkur PS,12.53789,77.21438,159
Chickballapura,Chickballapura Town PS,13.42859,77.72115,158
Kalaburagi City,Kalaburagi City CENCrime PS,17.30829,76.81689,158
Karnataka Railways,Belagavi Rly PS,15.94444,74.59574,158
Ballari,Kampli  PS,15.38436,76.60395,156
Chitradurga,Chitradurga Women PS,14.21626,76.39556,155
Bengaluru City,Pulakeshinagar Traffic PS,12.99355,77.53911,154
Chikkamagaluru,Chickmagalur Women PS,13.32844,75.74026,154
Kalaburagi,Devalagangapur PS,17.18978,76.54976,154
Mysuru Dist,Biligere PS,12.14636,76.40353,153
Bengaluru City,High Grounds Traffic PS,12.98197,77.57935,152
Chickballapura,Chickaballapura CEN Crime PS,13.52746,77.70919,152
Bengaluru City,Banasawadi Traffic PS,13.05427,77.57183,151
Kalaburagi,Afzalpur PS,17.21067,76.34462,151
Bengaluru City,Jeevan Bhima Nagar (Indiranagar) Traffic  PS,12.93286,77.66451,150
Shivamogga,Nagara PS,13.76487,75.01804,150
Chikkamagaluru,Singatagere PS,13.50729,76.15747,149
Bidar,Chintaki PS,18.22165,77.51745,148
Chitradurga,Chikkajajur PS,14.14362,76.13299,148
Kolar,Masti PS,12.88819,78.01713,148
Hassan,Hassan Extn. PS,13.02194,76.12196,146
Kodagu,Kodagu Women PS,12.3844,75.73864,146
Chickballapura,Dibburahalli PS,13.54752,77.89679,144
Chitradurga,Nayakanhatti PS,14.48168,76.56349,143
Hassan,Holenarasipura Town PS,12.6249,76.22408,143
Chikkamagaluru,Chickmagalur CEN Crime PS,13.35663,75.78634,142
Hassan,Arasikere Town PS,13.29633,76.26699,142
Chickballapura,Chintamani Town PS,13.39583,78.04722,141
Raichur,Idapanur PS,16.01284,77.43247,141
Bengaluru City,Wilsongarden Traffic PS,12.95193,77.59546,140
Chickballapura,Batlahalli PS,13.56541,78.14676,140
Kalaburagi,Revoor PS,17.30169,76.51338,140
Mysuru Dist,Kowlande PS,12.08218,76.72775,140
Belagavi Dist,Belagavi CEN Crime PS,16.11543,74.78697,139
Kolar,Mulbagal Rural PS,13.14558,78.32254,138
Kolar,Mulbagal Town PS,13.16276,78.38869,138
Bengaluru City,Basavanagudi Women PS,12.89717,77.54124,137
Dakshina Kannada,DK Women PS,12.78127,75.22256,137
Kolar,Kolar Town PS,13.13057,78.12317,137
Bengaluru City,Jayanagar Traffic PS,12.91484,77.56333,136
Haveri,Kumarapattanam PS,14.56059,75.72737,136
Shivamogga,Kargal PS,14.01015,74.70887,136
Chitradurga,Chitradurga Kote PS,14.22439,76.38504,135
Ballari,Thoranagal PS,15.18995,76.66186,134
Bidar,Bidar Women PS,17.85185,77.48301,134
Raichur,Yapaladinni PS,16.27653,77.49339,134
Ramanagara,Sathanoor PS,12.5425,77.3523,134
Mandya,K.M. Doddi PS,12.48124,77.03506,133
Chitradurga,Abbinahole PS,14.06853,76.61703,132
Chitradurga,Srirampura PS,13.49813,76.41953,132
Mysuru City,Saraswathipuram PS,12.30798,76.60779,132
Hassan,Arasikere Rural PS,13.31506,76.2756,131
Vijayanagara,Hosahalli PS,14.70602,76.44961,131
Bengaluru City,Shivajinagar PS,12.98397,77.60659,130
Mysuru City,CEN Crime PS Mysuru City,12.30707,76.66326,130
Dharwad,Dharwad CEN Crime PS,15.37988,75.10334,129
Ramanagara,Channapatna East PS,12.65514,77.21229,129
Vijayanagara,Kudligi PS,14.89815,76.37209,129
Ramanagara,Kodihalli PS,12.4215,77.51834,128
Udupi,Ajekar PS,13.31471,75.00636,128
Mandya,Malavalli Rural PS,12.39479,77.05338,127
Mangaluru City,E and N Crime PS Mangaluru City,12.87394,74.85332,127
Ramanagara,Ramanagara Rural PS,12.43279,77.2595,127
Chamarajanagar,Santemaralli PS,12.02672,76.97634,126
Chickballapura,Chikkaballapura Women PS,13.43963,77.72309,126
Chamarajanagar,M.M. Hills PS,12.04359,77.59302,125
Gadag,Gadag Traffic PS,15.43817,75.64,125
Kalaburagi,Yedrami PS,16.8399,76.53599,125
Ramanagara,M.K. Doddi PS,12.36155,75.92298,125
Mysuru City,Ashokpuram PS,12.28608,76.63321,124
Chikkamagaluru,Jayapura PS,13.37912,75.36151,122
Ballari,Ballari Women PS,15.15542,76.91527,121
Chitradurga,Chitradurga Extension PS,14.23995,76.4108,121
Mandya,Bindiganavile PS,12.91296,76.61507,121
Chitradurga,Thalak  PS,14.103,76.08235,120
Kalaburagi,Narona PS,17.48168,76.63969,120
Mandya,Bellur PS,12.97732,76.73247,119
Mandya,Kikkeri PS,12.57516,76.3142,118
Chitradurga,Chitradurga Traffic PS,14.02268,76.03994,117
Karnataka Railways,Arasikere Rly PS,13.34722,76.17466,117
Chitradurga,Chitradurga Town PS,14.22342,76.40157,116
Kalaburagi,Chincholi PS,17.46066,77.39355,114
Uttara Kannada,UK Women PS,14.84831,74.21811,114
Ballari,Kuduthini PS,15.22017,76.73217,112
Chitradurga,Chitrahalli Gate PS,14.06403,76.26807,112
Kalaburagi,Chittapura PS,17.11996,77.09936,112
Vijayanagara,Hospet Rural PS,15.28511,76.42931,112
Bengaluru City,Chikkajala Traffic PS,13.12235,77.46911,111
Kodagu,Madikeri Traffic  PS,12.41715,75.71314,111
Kolar,Rayalpad PS,13.48371,78.32583,111
Raichur,Netajinagar PS,16.19863,77.36449,111
Vijayanagara,Hagaribommanahalli PS,15.05604,76.21163,111
Bengaluru City,Ashoknagar Traffic PS,12.92908,77.6141,110
Chickballapura,Peresandra PS,13.54492,77.73729,109
Mandya,Mandya Women PS,12.53944,76.90455,109
Bagalkot,Bagalkot Women PS,16.16685,75.67419,108
Uttara Kannada,Mallapura PS,14.87855,74.31091,108
Vijayanagara,Chigateri PS,14.71775,76.0948,107
Chickballapura,Chelur PS,13.70874,78.06893,106
Vijayanagara,Mariyammanahalli PS,15.17865,76.35372,106
Kolar,Nangli PS,13.19921,78.4667,105
Mandya,Halagur PS,12.49187,77.08508,105
Chitradurga,Turuvanur (Jogi) PS,14.35057,76.40352,104
Hassan,Hallymysore PS,12.65057,76.26544,104
Ramanagara,Ramanagara Traffic PS,12.7408,77.28992,104
Shivamogga,Anandapura PS,14.08956,75.15942,102
Chitradurga,Imangala PS,14.10395,76.45231,101
Karnataka Railways,Gadag Rly PS,15.41005,75.85214,101
Ballari,Sandur PS,15.07785,76.51879,100
Ballari,Tekkalkota PS,15.5233,76.6687,98
Bengaluru City,Hulimavu Traffic PS,12.87176,77.61083,98
Kolar,Kolar Women PS,13.143,78.1526,98
Ballari,Gandhinagar PS,15.15656,76.91365,96
Hassan,Hassan Women PS,13.01352,76.14184,96
Hassan,Pension Mohalla PS,13.01641,76.12428,96
Mandya,Keragodu PS,12.60731,76.76894,96
Mysuru Dist,Mysuru Women PS,12.21174,76.09104,95
Hassan,Javagal PS,13.29824,76.07318,94
Ballari,Bellary Traffic PS,15.32786,76.73718,92
Karnataka Railways,Bengaluru Rural Rly PS,13.17869,77.42397,92
Ramanagara,Ijoor PS,12.72351,77.27484,92
Vijayanagara,Ittigi PS,14.94241,76.0549,92
Karnataka Railways,Vijayapura Rly PS,16.50307,75.77833,91
Mandya,Nagamangala Town PS,12.81347,76.74599,91
Kolar,Kolar CEN Crime PS,13.12117,78.10546,90
Mandya,K.R. Pet Town PS,12.67464,76.49066,90
Ramanagara,Kanakapura Rural PS,12.50307,77.41484,90
Kalaburagi,Mudhol PS,17.02243,77.39432,89
Kolar,Gulpet PS,13.13993,78.14247,89
Kalaburagi,Miryan PS,17.37497,77.47015,88
